Provider,Data Center Name,Address
Digital Realty,Northern Virginia IAD44 Data Center,"43704 Efficiency Dr, Dulles, VA 20166, USA"
Lumen,Dallas 1 Data Center,"3180 Irving Blvd, Dallas, TX, USA"
Lumen,Chicago 2 Data Center,"900 North Kingsbury Street, Chicago, IL, USA"
QTS Data Centers,Atlanta 4 DC1 Data Center,"1103 Herndon Street Northwest, Atlanta, GA, USA"
Flexential,Cincinnati Data Center,"5307 Muhlhauser Rd, Hamilton, West Chester Township, OH 45011, USA"
LightEdge,Kansas City Data Center,"9050 Northeast Underground Drive, Kansas City, MO, USA"
Edged,Edged Chicago Data Center,"2835 Bilter Road, Aurora, IL 60502, USA"
Csquare,Phoenix ( PHX1 - Mesa) Data Center,"1301 West University Drive, Mesa, AZ, USA"
Equinix,LA4 El Segundo Data Center,"445 North Douglas Street, El Segundo, CA, USA"
Iron Mountain Data Centers,NJE - 1 - New Jersey Data Center,"3003 Woodbridge Avenue, Edison, NJ, USA"
Telehouse,New York Teleport Data Center,"7 Teleport Drive, Staten Island, NY, USA"
Cologix,COL3 Columbus Data Center,"585 Scherers Court, Columbus, OH, USA"
Ark data centers (Iowa),Cedar Rapids Data Center,"5055 Rec Drive, Marion, IA, USA"
Amazon AWS,5117 Hayden Run,"5117 Hayden Run Rd, Hilliard, OH 43026, USA"
365 Data Centers,PH2 Philadelphia Data Center,"3701 Market, Market Street, Philadelphia, PA, USA"
Digital Realty,Silicon Valley SJC14 Data Center,"1500 Space Park Drive, Santa Clara, CA 95054, USA"
US Signal,Grand Rapids South Data Center,"400 76th St SW, Byron Center, MI, USA"
Equinix,DC7 Vienna Data Center,"7990 Science Applications Court, Vienna, VA, USA"
365 Data Centers,GA2 Smyrna Data Center,"5600 United Drive Southeast, Smyrna, GA, USA"
Flexential,Minneapolis - Chaska Data Center,"3500 Lyman Blvd, Chaska, MN 55318, USA"
QTS Data Centers,Fort Worth - Dallas Data Center,"14100 Park Vista Boulevard, Fort Worth, TX, USA"
11:11 Systems,Los Angeles Data Center,"900 N Alameda St, Los Angeles, CA 90012, USA"
Ark data centers (Iowa),Akron Data Center,"191 East Miller Avenue, Akron, OH, USA"
Digital Realty,Chicago ORD23 Data Center,"505 North Railroad Avenue, Northlake, IL, USA"
Bluebird Data Centers,Bluebird Underground Data Center,"1904 Le Compte Rd, Springfield, MO, USA"
Csquare,SEA1 Tukwila Data Center Campus,"12301 Tukwila International Boulevard, Tukwila, WA, USA"
T5 Data Centers,@Atlanta III Data Center,"1546 Trae Lane, Lithia Springs, GA, USA"
DataBank,DFW2 - North Dallas Data Center,"904 Quality Way, Richardson, TX, USA"
365 Data Centers,CH1 Chicago Data Center,"350 East Cermak Road suite 240, Chicago, IL, USA"
Csquare,EWR3 Piscataway Data Center Campus,"3 Corporate Place, Piscataway, NJ, USA"
Flexential,Charlotte - South Data Center,"8910 Lenox Pointe Drive, Charlotte, NC, USA"
Flexential,Tampa - North Data Center,"8350 Parkedge Dr, Tampa, FL 33637, USA"
Keystone Nap,Keystone NAP,"150 Roebling Rd, Fairless Hills, PA, USA"
Provision Data Services,2020 Live Oak St Data Center,"2020 Live Oak Street, Dallas, TX, USA"
Csquare,ATL1-B Lithia Springs Data Center,"375 Riverside Pkwy ste 150, Lithia Springs, GA 30122, USA"
ManagedWay,Detroit Data Center TYM2,"600 Executive Drive, Troy, MI, USA"
CyrusOne,DUR1 Raleigh-Durham Data Center,"2223 Northeast Creek Parkway, Durham, NC, USA"
Telesystem,DC-2 Michigan Data Center,"1240 Huber Drive, Monroe, MI, USA"
"Meta, Inc.",Mesa Data Center,"3841 S Ellsworth Rd, Mesa, Arizona 85212, USA"
Microsoft Azure,Columbia Data Center,"1515 Port Industrial Way, Quincy, Washington 98848, USA"
"Meta, Inc.",Gallatin Data Centers,"1 Meta Lp, Gallatin, Tennessee 37066, USA"
Equinix,CH7 Westmont Data Center,"111 Plaza Drive, Westmont, IL, USA"
Lumen,Wilmington 1 Data Center,"1603 Jessup Street, Wilmington, DE, USA"
Vantage Data Centers,CA1 Santa Clara Data Center Campus,"2820 Northwestern Parkway, Santa Clara, CA, USA"
Equinix,LA3 El Segundo Data Center,"1920 East Maple Avenue, El Segundo, CA, USA"
Prime Data Centers,Prime Los Angeles - 4701 S. Santa Fe,"4701 South Santa Fe Avenue, Vernon, CA, USA"
Equinix,SV10 San Jose Data Center,"7 Great Oaks Boulevard, San Jose, CA, USA"
CyrusOne,CIN2 Cincinnati 7th Street Data Center,"229 West 7th Street, Cincinnati, OH, USA"
DataVerge,Brooklyn Data Center,"882 3rd Avenue, Brooklyn, NY, USA"
Iron Mountain Data Centers,AZP - 3 - Phoenix Data Center,"4802 East Van Buren Street, Phoenix, AZ, USA"
Lumen,Santa Clara 1 Data Center,"3045 Raymond Street, Santa Clara, CA, USA"
Cologix,MIN4 Minneapolis Data Center,"511 11th Ave S, Minneapolis, MN, USA"
